Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Hampshire,Essex,tied,-,Southampton,"Aug 25, 2019",T20
Leics,Derbyshire,Derbyshire,9 wickets,Leicester,"Aug 25, 2019",T20
WORCS,Lancashire,Lancashire,25 runs,Worcester,"Aug 25, 2019",T20
Notts,Yorkshire,Notts,3 runs,Nottingham,"Aug 25, 2019",T20
Glamorgan,Sussex,Sussex,7 wickets,Cardiff,"Aug 26, 2019",T20
Lancashire,Derbyshire,Derbyshire,11 runs,Manchester,"Aug 26, 2019",T20
Durham,Bears,Bears,7 wickets,Chester-le-Street,"Aug 27, 2019",T20
Surrey,Somerset,Surrey,6 wickets,The Oval,"Aug 27, 2019",T20
Hampshire,Middlesex,Hampshire,8 wickets,Southampton,"Aug 29, 2019",T20
Surrey,Essex,Essex,19 runs,The Oval,"Aug 29, 2019",T20
Yorkshire,Northants,Yorkshire,80 runs,Leeds,"Aug 29, 2019",T20
Kent,Gloucs,Gloucs,5 runs,Canterbury,"Aug 29, 2019",T20
Bears,Yorkshire,Yorkshire,19 runs,Birmingham,"Aug 30, 2019",T20
Essex,Kent,Essex,10 runs,Chelmsford,"Aug 30, 2019",T20
Glamorgan,Hampshire,Glamorgan,28 runs,Cardiff,"Aug 30, 2019",T20
Lancashire,Leics,Lancashire,5 wickets,Manchester,"Aug 30, 2019",T20
Northants,WORCS,Northants,7 wickets,Northampton,"Aug 30, 2019",T20
Notts,Durham,Durham,47 runs,Nottingham,"Aug 30, 2019",T20
Somerset,Middlesex,Middlesex,6 wickets,Taunton,"Aug 30, 2019",T20
Sussex,Gloucs,Gloucs,3 wickets,Hove,"Aug 30, 2019",T20
Lancashire,Essex,Essex,6 wickets,Chester-le-Street,"Sep 4, 2019",T20
Notts,Middlesex,Notts,10 wickets,Nottingham,"Sep 5, 2019",T20
Sussex,WORCS,WORCS,8 wickets,Hove,"Sep 6, 2019",T20
Gloucs,Derbyshire,Derbyshire,7 wickets,Bristol,"Sep 7, 2019",T20
Notts,WORCS,WORCS,1 run,Birmingham,"Sep 21, 2019",T20
Derbyshire,Essex,Essex,34 runs,Birmingham,"Sep 21, 2019",T20
WORCS,Essex,Essex,4 wickets,Birmingham,"Sep 21, 2019",T20
Lancashire,Derbyshire,Lancashire,6 wickets,Manchester,"Jun 9, 2021",T20
WORCS,Notts,tied,-,Worcester,"Jun 9, 2021",T20
Somerset,Essex,Essex,3 wickets,Taunton,"Jun 9, 2021",T20
Kent,Hampshire,Kent,38 runs,Canterbury,"Jun 9, 2021",T20
Glamorgan,Gloucs,Gloucs,4 runs,Cardiff,"Jun 10, 2021",T20
Lancashire,Leics,Lancashire,16 runs,Manchester,"Jun 10, 2021",T20
Yorkshire,Bears,Yorkshire,6 wickets,Leeds,"Jun 10, 2021",T20
Middlesex,Surrey,Surrey,54 runs,Lord's,"Jun 10, 2021",T20
Durham,Yorkshire,Durham,20 runs,Chester-le-Street,"Jun 11, 2021",T20
Gloucs,Sussex,Sussex,5 wickets,Bristol,"Jun 11, 2021",T20
Leics,Derbyshire,Derbyshire,23 runs,Leicester,"Jun 11, 2021",T20
Notts,Bears,Bears,18 runs,Nottingham,"Jun 11, 2021",T20
Somerset,Surrey,Surrey,7 wickets,Taunton,"Jun 11, 2021",T20
Essex,Hampshire,Hampshire,13 runs,Chelmsford,"Jun 11, 2021",T20
Kent,Middlesex,Kent,16 runs,Canterbury,"Jun 11, 2021",T20
Northants,WORCS,WORCS,32 runs,Northampton,"Jun 11, 2021",T20
Sussex,Hampshire,Sussex,9 wickets,Hove,"Jun 12, 2021",T20
Derbyshire,Bears,Bears,3 wickets,Derby,"Jun 13, 2021",T20
Glamorgan,Essex,Glamorgan,7 wickets,Cardiff,"Jun 13, 2021",T20
Leics,Durham,Durham,2 wickets,Leicester,"Jun 13, 2021",T20
WORCS,Lancashire,WORCS,8 wickets,Worcester,"Jun 13, 2021",T20
Northants,Notts,Notts,14 runs,Northampton,"Jun 13, 2021",T20
Kent,Gloucs,Kent,5 runs,Canterbury,"Jun 13, 2021",T20
Surrey,Glamorgan,Surrey,5 wickets,The Oval,"Jun 14, 2021",T20
Middlesex,Hampshire,Middlesex,3 wickets,Radlett,"Jun 15, 2021",T20
Durham,Notts,Notts,13 runs,Chester-le-Street,"Jun 15, 2021",T20
Northants,Bears,Bears,55 runs,Northampton,"Jun 15, 2021",T20
Somerset,Kent,Somerset,47 runs,Taunton,"Jun 15, 2021",T20
Yorkshire,Leics,Yorkshire,18 runs,Leeds,"Jun 15, 2021",T20
Derbyshire,Lancashire,Lancashire,7 wickets,Derby,"Jun 15, 2021",T20
Essex,Sussex,Sussex,7 wickets,Chelmsford,"Jun 15, 2021",T20
Glamorgan,Kent,Kent,40 runs,Cardiff,"Jun 16, 2021",T20
WORCS,Yorkshire,Yorkshire,94 runs,Worcester,"Jun 16, 2021",T20
Leics,Bears,Bears,35 runs,Leicester,"Jun 16, 2021",T20
